State,Description,Plate Image,Source
CA,California - Standard - Script,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/pass-1.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/)
CA,California - Standard - Block,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/pass-2.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/)
CA,California - Standard - Sun,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/pass-3.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/)
CA,California - Standard - Bue + Gold 1,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/pass-4.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/)
CA,California - Standard - Bue + Gold 2,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/pass-5.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/)
CA,California - Standard - Black + Gold,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/pass-6.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/)
CA,California - Pearl Harbor Survivor,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/pearlharbor.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Pet Lovers - Motorcycle,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/pet_lovers_mc.jpg),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/)
CA,California - Pet Lovers,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/pet_lovers.jpg),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/)
CA,California - Breast Cancer Awareness - Motorcycle,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/pinkplate.png),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/)
CA,California - Breast Cancer Awareness,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/pinkribbon.jpg),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/)
CA,California - LEGACY,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/plate_1960_1.jpg),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/)
CA,California - LEGACY - Motorcycle,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/plate_1960_2.png),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/)
CA,California - Ex-Prisoner of War - Block,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/POWBlock.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Ex-Prisoner of War - Blue + Gold,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/POWblugld.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Ex-Prisoner of War - Script,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/POWScript.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Ex-Prisoner of War - Sun,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/POWSun.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Press Photographer - Block,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/pressphotogblok.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Press Photographer - Blue + Gold,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/pressphotogblugld.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Press Photographer - Motorcycle,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/PressPhotogMC.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Purple Heart - Auto,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/prplheartautocomltrlr.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Purple Heart - Motorcycle,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/prplheartmc.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Permanent Trailers,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/PTIPlate.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/)
CA,California - Remanufacturers - Block,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/RmfBlock.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Remanufacturers - Blue,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/RmfBlue.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
